AUC score: 0.84
         2021701 function calls (1934021 primitive calls) in 3.729 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1054    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.021    0.021 numeric.py:1(<module>)
        1    0.000    0.000    0.021    0.021 overrides.py:1(<module>)
        1    0.000    0.000    0.020    0.020 platform.py:3(<module>)
  129/113    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
    68472    0.013    0.000    0.020    0.000 linalg.py:112(isComplexType)
  129/113    0.007    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.019    0.019 _basic.py:5(<module>)
        1    0.000    0.000    0.019    0.019 core.py:158(load_base_library)
        1    0.000    0.000    0.019    0.019 core.py:179(read_style_directory)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
        1    0.000    0.000    0.019    0.019 orthogonal.py:1(<module>)
       26    0.000    0.000    0.019    0.001 __init__.py:783(rc_params_from_file)
        1    0.000    0.000    0.019    0.019 fontconfig_pattern.py:1(<module>)
      538    0.001    0.000    0.019    0.000 <__array_function__ internals>:2(concatenate)
      218    0.000    0.000    0.018    0.000 __init__.py:2021(_by_version)
       26    0.000    0.000    0.018    0.001 pyparsing.py:2779(__init__)
     4281    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.018    0.018 reduction.py:11(<module>)
      218    0.000    0.000    0.017    0.000 __init__.py:2027(<listcomp>)
    67828    0.017    0.000    0.017    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.017    0.001 artist.py:1308(__init__)
       12    0.001    0.000    0.017    0.001 artist.py:1328(get_aliases)
        1    0.000    0.000    0.017    0.017 geometric.py:1(<module>)
      896    0.001    0.000    0.017    0.000 version.py:48(parse)
        1    0.000    0.000    0.017    0.017 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.017    0.017 defchararray.py:1(<module>)
      436    0.001    0.000    0.017    0.000 __init__.py:2118(distributions_from_metadata)
     1834    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      384    0.009    0.000    0.016    0.000 doccer.py:177(indentcount_lines)
       19    0.000    0.000    0.016    0.001 _distn_infrastructure.py:2959(__init__)
        1    0.000    0.000    0.016    0.016 pyparsing.py:27(<module>)
   138808    0.015    0.000    0.015    0.000 {built-in method builtins.issubclass}
      124    0.001    0.000    0.015    0.000 _distn_infrastructure.py:713(_construct_argparser)
     8205    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      514    0.000    0.000    0.014    0.000 re.py:198(search)
        3    0.000    0.000    0.014    0.005 pathlib.py:1318(mkdir)
        3    0.000    0.000    0.014    0.005 __init__.py:51(create_module)
        3    0.000    0.000    0.014    0.005 __init__.py:29(load_module)
        3    0.014    0.005    0.014    0.005 {built-in method posix.mkdir}
      124    0.001    0.000    0.014    0.000 _distn_infrastructure.py:631(__init__)
        1    0.000    0.000    0.014    0.014 animation.py:19(<module>)
      124    0.000    0.000    0.014    0.000 _distn_infrastructure.py:699(_attach_argparser_methods)
      374    0.001    0.000    0.014    0.000 decorator.py:262(decorator)
      105    0.001    0.000    0.014    0.000 _distn_infrastructure.py:1751(_attach_methods)
     6578    0.008    0.000    0.014    0.000 inspect.py:2496(__init__)
     1963    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.013    0.013 subprocess.py:10(<module>)
        1    0.000    0.000    0.013    0.013 defmatrix.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _minimize.py:1(<module>)
     1935    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.012    0.012 pyparsing.py:26(<module>)
      373    0.001    0.000    0.012    0.000 decorator.py:273(dec)
     2869    0.008    0.000    0.012    0.000 inspect.py:2779(__init__)
        1    0.000    0.000    0.012    0.012 memory.py:1(<module>)
     1102    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.012    0.012 linalg.py:1(<module>)
      292    0.001    0.000    0.012    0.000 function_base.py:475(add_newdoc)
        2    0.000    0.000    0.012    0.006 _add_newdocs.py:1(<module>)
     1046    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
    68472    0.011    0.000    0.011    0.000 multiarray.py:736(dot)
        1    0.000    0.000    0.011    0.011 Image.py:27(<module>)
      218    0.001    0.000    0.011    0.000 __init__.py:2576(from_location)
      678    0.001    0.000    0.011    0.000 version.py:107(__init__)
   112564    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        6    0.001    0.000    0.011    0.002 npyio.py:972(read_data)
      373    0.001    0.000    0.011    0.000 decorator.py:208(decorate)
    69373    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.011    0.005 shape_base.py:1(<module>)
      324    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(amax)
      678    0.004    0.000    0.011    0.000 version.py:205(_legacy_cmpkey)
        1    0.000    0.000    0.011    0.011 axes3d.py:1(<module>)
        1    0.000    0.000    0.011    0.011 py3k.py:1(<module>)
     3119    0.011    0.000    0.011    0.000 {method 'format' of 'str' objects}
       11    0.000    0.000    0.010    0.001 pyparsing.py:1901(parseString)
    68829    0.010    0.000    0.010    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.010    0.010 _axes.py:46(Axes)
   260/11    0.001    0.000    0.010    0.001 pyparsing.py:1647(_parseNoCache)
        1    0.000    0.000    0.010    0.010 textpath.py:1(<module>)
    63/11    0.000    0.000    0.010    0.001 pyparsing.py:4049(parseImpl)
124283/122372    0.009    0.000    0.010    0.000 {built-in method builtins.len}
       18    0.000    0.000    0.010    0.001 rcsetup.py:461(validate_font_properties)
        9    0.000    0.000    0.010    0.001 fontconfig_pattern.py:119(parse)
     1062    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
23366/23358    0.008    0.000    0.009    0.000 {method 'join' of 'str' objects}
      947    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
      244    0.000    0.000    0.009    0.000 decorators.py:21(not_implemented_for)
       98    0.004    0.000    0.009    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.009    0.009 specifiers.py:4(<module>)
     1102    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:156(__enter__)
    28100    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
      324    0.002    0.000    0.009    0.000 fromnumeric.py:2638(amax)
     1141    0.004    0.000    0.009    0.000 version.py:271(__init__)
     72/4    0.008    0.000    0.009    0.002 pyparsing.py:1835(_parseCache)
       20    0.000    0.000    0.009    0.000 pyparsing.py:4686(parseImpl)
        1    0.000    0.000    0.009    0.009 colors.py:1(<module>)
     8824    0.008    0.000    0.008    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.008    0.008 minimize_trustregion_constr.py:1(<module>)
        1    0.000    0.000    0.008    0.008 patches.py:1(<module>)
     7073    0.004    0.000    0.008    0.000 enum.py:358(__call__)
       20    0.000    0.000    0.008    0.000 pyparsing.py:4847(parseImpl)
       19    0.000    0.000    0.008    0.000 _distn_infrastructure.py:3020(_construct_docstrings)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
    67824    0.008    0.000    0.008    0.000 linalg.py:2359(_norm_dispatcher)
     1614    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       18    0.000    0.000    0.008    0.000 pyparsing.py:4779(parseImpl)
        1    0.000    0.000    0.008    0.008 _sketches.py:1(<module>)
     1357    0.004    0.000    0.008    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.008    0.008 algebraicconnectivity.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
      363    0.002    0.000    0.008    0.000 fromnumeric.py:69(_wrapreduction)
    14985    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
     1772    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      664    0.000    0.000    0.008    0.000 __init__.py:2344(_normalize_cached)
        8    0.000    0.000    0.008    0.001 posixpath.py:388(realpath)
        6    0.000    0.000    0.008    0.001 __init__.py:2327(normalize_path)
      9/8    0.000    0.000    0.008    0.001 posixpath.py:397(_joinrealpath)
      286    0.001    0.000    0.008    0.000 overrides.py:89(verify_matching_signatures)
      339    0.008    0.000    0.008    0.000 {built-in method posix.listdir}
    11559    0.008    0.000    0.008    0.000 {method 'expandtabs' of 'str' objects}
      114    0.005    0.000    0.007    0.000 {built-in method builtins.eval}
      110    0.000    0.000    0.007    0.000 __init__.py:3268(<genexpr>)
       39    0.000    0.000    0.007    0.000 posixpath.py:164(islink)
     8205    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.007    0.007 pyparsing.py:6398(pyparsing_common)
       39    0.007    0.000    0.007    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
      109    0.000    0.000    0.007    0.000 __init__.py:2774(activate)
        3    0.000    0.000    0.007    0.002 rcsetup.py:164(_validate_date_converter)
       13    0.000    0.000    0.007    0.001 dataclasses.py:1012(wrap)
       13    0.000    0.000    0.007    0.001 dataclasses.py:809(_process_class)
        1    0.000    0.000    0.007    0.007 specifiers.py:333(Specifier)
    45111    0.007    0.000    0.007    0.000 {built-in method builtins.min}
       72    0.001    0.000    0.007    0.000 __init__.py:1287(_preprocess_data)
     1935    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.007    0.007 mathtext.py:1(<module>)
      550    0.002    0.000    0.007    0.000 npyio.py:999(<listcomp>)
        1    0.000    0.000    0.007    0.007 dates.py:1(<module>)
      218    0.000    0.000    0.007    0.000 __init__.py:2563(__init__)
        1    0.000    0.000    0.007    0.007 _constraints.py:1(<module>)
        1    0.000    0.000    0.007    0.007 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.006    0.006 _ranking.py:1(<module>)
      110    0.000    0.000    0.006    0.000 validation.py:35(_deprecate_positional_args)
      491    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
      833    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      110    0.001    0.000    0.006    0.000 validation.py:48(_inner_deprecate_positional_args)
        1    0.000    0.000    0.006    0.006 func_inspect.py:1(<module>)
      134    0.001    0.000    0.006    0.000 inspect.py:1129(getfullargspec)
        1    0.000    0.000    0.006    0.006 format.py:699(read_array)
      242    0.000    0.000    0.006    0.000 __init__.py:1312(safe_version)
        2    0.000    0.000    0.006    0.003 _base.py:1(<module>)
    11559    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
     1834    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.006    0.006 format.py:570(_read_array_header)
      881    0.002    0.000    0.006    0.000 copy.py:66(copy)
        1    0.000    0.000    0.006    0.006 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.006    0.006 format.py:535(_filter_header)
        1    0.000    0.000    0.006    0.006 logger.py:1(<module>)
     6134    0.003    0.000    0.006    0.000 version.py:187(_parse_version_parts)
      648    0.001    0.000    0.005    0.000 linalg.py:215(transpose)
       23    0.000    0.000    0.005    0.000 tokenize.py:429(_tokenize)
        1    0.000    0.000    0.005    0.005 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _rotation_groups.py:1(<module>)
       21    0.000    0.000    0.005    0.000 tokenize.py:98(_compile)
        1    0.000    0.000    0.005    0.005 __init__.py:479(matplotlib_fname)
       27    0.000    0.000    0.005    0.000 pyparsing.py:3294(__init__)
     1046    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
        3    0.000    0.000    0.005    0.002 __init__.py:2(<module>)
        1    0.000    0.000    0.005    0.005 disk.py:1(<module>)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
      108    0.000    0.000    0.005    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
    17092    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.005    0.005 blocking_input.py:1(<module>)
    57578    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 distance.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1(<module>)
    13750    0.004    0.000    0.005    0.000 npyio.py:732(floatconv)
      228    0.001    0.000    0.005    0.000 __init__.py:2052(<genexpr>)
        1    0.000    0.000    0.005    0.005 _root.py:1(<module>)
     2005    0.003    0.000    0.005    0.000 inspect.py:494(unwrap)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
       17    0.000    0.000    0.005    0.000 rcsetup.py:880(validate_cycler)
        1    0.000    0.000    0.005    0.005 parser.py:5(<module>)
      648    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(swapaxes)
        1    0.000    0.000    0.005    0.005 __init__.py:15(<module>)
     1935    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
      616    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
     3321    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x55bf6576b300}
     1550    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 _linprog.py:1(<module>)
       54    0.000    0.000    0.004    0.000 dataclasses.py:377(_create_fn)
        1    0.000    0.000    0.004    0.004 feedparser.py:5(<module>)
       32    0.000    0.000    0.004    0.000 colors.py:915(from_list)
      172    0.001    0.000    0.004    0.000 deprecation.py:183(deprecate)
      206    0.000    0.000    0.004    0.000 __init__.py:2763(_get_metadata)
        1    0.000    0.000    0.004    0.004 backend_bases.py:1(<module>)
        1    0.000    0.000    0.004    0.004 context.py:1(<module>)
      219    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
        7    0.000    0.000    0.004    0.001 enum.py:528(_convert_)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
      428    0.000    0.000    0.004    0.000 rcsetup.py:377(validate_color)
 2025/512    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
       32    0.000    0.000    0.004    0.000 doccer.py:222(decorate)
        1    0.000    0.000    0.004    0.004 filters.py:31(<module>)
      348    0.004    0.000    0.004    0.000 _methods.py:66(_count_reduce_items)
        1    0.000    0.000    0.004    0.004 axis.py:1(<module>)
      138    0.000    0.000    0.004    0.000 rcsetup.py:85(f)
        1    0.000    0.000    0.004    0.004 codata.py:7(<module>)
        2    0.000    0.000    0.004    0.002 misc.py:1(<module>)
     2004    0.002    0.000    0.004    0.000 posixpath.py:71(join)
      917    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      875    0.001    0.000    0.004    0.000 inspect.py:2871(replace)
      974    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.004    0.004 interpolate.py:1(<module>)
     8166    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     6985    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
     1298    0.001    0.000    0.004    0.000 __init__.py:2067(dist_factory)
       37    0.000    0.000    0.004    0.000 __init__.py:1252(_add_data_doc)
    31090    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     2086    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 _mathtext.py:1923(Parser)
    12549    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    24497    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
       50    0.000    0.000    0.004    0.000 traceback.py:200(extract_stack)
      857    0.001    0.000    0.004    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.004    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.004    0.004 _multivariate.py:4(<module>)
        1    0.000    0.000    0.004    0.004 ElementTree.py:6(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      165    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
    36/11    0.000    0.000    0.003    0.000 pyparsing.py:3743(leaveWhitespace)
       51    0.000    0.000    0.003    0.000 __init__.py:2185(_handle_ns)
       21    0.001    0.000    0.003    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.003    0.003 twodim_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _mathtext.py:2505(<lambda>)
        1    0.000    0.000    0.003    0.003 _mathtext.py:2505(<listcomp>)
     1414    0.001    0.000    0.003    0.000 re.py:188(match)
      426    0.000    0.000    0.003    0.000 colors.py:137(is_color_like)
      419    0.001    0.000    0.003    0.000 inspect.py:1838(_signature_bound_method)
       13    0.000    0.000    0.003    0.000 dataclasses.py:998(dataclass)
       50    0.001    0.000    0.003    0.000 traceback.py:321(extract)
      111    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       88    0.000    0.000    0.003    0.000 deprecation.py:353(delete_parameter)
      917    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        9    0.000    0.000    0.003    0.000 enum.py:475(_create_)
       10    0.000    0.000    0.003    0.000 pyparsing.py:5120(__init__)
     2560    0.002    0.000    0.003    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
      239    0.000    0.000    0.003    0.000 rcsetup.py:370(validate_color_for_prop_cycle)
       64    0.000    0.000    0.003    0.000 rcsetup.py:104(<listcomp>)
        1    0.000    0.000    0.003    0.003 reduction.py:10(<module>)
     1046    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     32/9    0.000    0.000    0.003    0.000 pyparsing.py:4466(leaveWhitespace)
        7    0.000    0.000    0.003    0.000 dataclasses.py:1170(make_dataclass)
        1    0.000    0.000    0.003    0.003 _policybase.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
      119    0.000    0.000    0.003    0.000 abc.py:105(__new__)
